user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
18891281,2016-05-31 19:50,,0.0,0.0,"brexit,immigration • opendemocracy,e- … •",
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
401292873,2016-05-31 19:56,,0.0,0.0,"vote,eu brexit,pork chop",#BREXIT #VoteLeave
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
2523405482,2016-05-31 19:55,,0.0,0.0,"brexit,diversification,vote fuels market uncertainty,market oracle",#market
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
382114829,2016-05-31 19:59,,-0.6999999999999998,0.6666666666666666,"brexit,belgium”",#vrtnieuws
292679847,2016-05-31 19:50,,0.06666666666666667,0.5666666666666667,"utter load,economic chaos,such thing",#Brexit #AFFORDABLE #HOUSING
4829430599,2016-05-31 19:35,,0.0,0.0,"streaming,radiofreeuk,intro,cab 27th,may,– vs",#BRExit #StrongerIn
30627297,2016-05-31 19:31,,0.1,0.4,"chris grayling,young people",#brexit
2531015528,2016-05-31 19:26,,0.0,0.0,western world,#EU #Brexit #VoteLeave
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
33205277,2016-05-31 19:58,,0.0,1.0,"packed,holiday week,vat,fiscal stimulus",#payrolls #Brexit #Fedspeak #Japan
935566897,2016-05-31 19:47,,0.0,0.0,"poll shows,brexit,britain,abandon democracy",
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
130977700,2016-05-31 19:51,,0.0,0.2625,"retweeted brexit dog,brexit _dog,was,specific pint,individual freedom",#left
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
4100571640,2016-05-31 19:55,,0.05,0.225,"young people,uk",#Brexit
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
14998564,2016-05-31 19:55,,-0.08333333333333334,1.0,"rt,questions case,corrupt liar,obviously,tremendous",#Brexit
379851447,2016-05-31 19:40,,0.0,0.0,"billion,fb",#EU #brexit #referendum #voteleave
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
379851447,2016-05-31 19:54,,0.0,0.0,"uk,fb",#EU #brexit #referendum #voteleave
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
379851447,2016-05-31 19:52,,0.0,0.0,"john bingley,british constitution -part,ydl6c",#EU #brexit #referendum #voteleave
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
15829680,2016-05-31 19:57,,-0.5,1.0,weird laundry detergent name,#Brexit
169137527,2016-05-31 19:48,,0.13333333333333333,0.6749999999999999,"entire brexit parlour game,happy,bo-jo,whiif whaff",
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
3192197441,2016-05-31 19:59,,0.0,0.0,"angela,sleepless night — blackmail threats,erdogan",#Brexit #StrongerIN #VoteLeave
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
548757187,2016-05-31 19:50,,0.45,0.8,"free,free money",#EU #Brexit
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
158192588,2016-05-31 19:57,,-0.2,0.3,"guardian,brexit,british workers £38,leaving,eu,please rt",
124410425,2016-05-31 19:44,,-1.0,0.9,"contd,pm,june,out,yippee …",#Brexit
316535085,2016-05-31 19:34,,-0.5,0.5,control energy policy business,#remain #uk #brexit #euref #voteleave
1422957272,2016-05-31 19:32,,0.0,0.0,"eu,brexit,workers £38,tuc",
1017959256,2016-05-31 19:27,,0.1,0.4,"chris grayling,brexit,young people",
1040080514,2016-05-31 19:21,,0.0,0.0,"brexit,eye australian-style,immigration system,uk leaves eu,reuters,nyt",
39032403,2016-05-31 19:10,,0.0,0.0,"stephen hawking,royal society fellows,uk",#EUreferendum #Brexit
2711204024,2016-05-31 19:03,,-0.7,1.0,"brexit bounce crude crumble,dismal data slam stocks bid bonds,bullion,zero hedge",
37928746,2016-05-31 18:59,,0.1,0.1,"brexit,double vat,energy bills,mirror online,rexit-campaigners-tried-double-vat-8088033 …",
379851447,2016-05-31 18:51,,-0.5,0.5,"shocking truth,pending,european union,collapse,w92ya …",#brexit #referendum #superstate
436928552,2016-05-31 18:45,,-0.29375,0.55,poor little voters ...,#BREXIT #VoteLEAVE #Immigration #HappyFamiliesinEU
352646575,2016-05-31 18:37,"Birmingham, England",-0.3333333333333333,0.6666666666666666,"seriously,uk,usa,trump",#Brexit
210747105,2016-05-31 18:34,,-0.4,0.4,"kuenssberg,'s farcical programme,iq,lloyd,london,'s disapproval,brexit",
732428143345049600,2016-05-31 18:25,,0.011111111111111113,0.3222222222222223,this whole brexit issue is now racist.. farage wins hands down as the tory scum support his views.. cameron has been deposed by racist dross,
1534804092,2016-05-31 18:21,,-0.12626262626262627,0.6439393939393939,"eu,boris,gove,tough new immigration system,brexit",#SNP #Telegraph
3235220435,2016-05-31 18:13,,0.45,0.6,"factcheck,eu",#UKIP #manifesto #StrongerIN #VoteIN #EUref #Remain #INCrowd #Brexit
731592435764199429,2016-05-31 18:07,,0.0,0.5,"skynews,newspaper reviewer,ayesha hazarika,never,such clap trap,geez",#VoteLeave #Brexit
2690377522,2016-05-31 18:03,,-0.5,0.9,"wrong horse,fudge result",#Brexit
2673238363,2016-05-31 18:00,,0.0,0.0,"alternative conservative,australian-style,immigration system",#Brexit
194732581,2016-05-31 17:57,,0.19999999999999998,0.3416666666666666,"do you want your children boiled alive,vote brexit for,better future you know it makes sense,shouty shouty,eye swivel",
133259087,2016-05-31 17:50,,0.0,0.0,,#Brexit #Grexit #Irexit
273569399,2016-05-31 17:47,,-0.07500000000000001,0.475,"snp,eu,true colours,ex-deputy leader thecourier.co",#Brexit #VoteLeave #LeaveEU
379851447,2016-05-31 17:45,,0.0,0.0,fb,#EU #brexit #referendum #voteleave
250091875,2016-05-31 17:40,,0.0,0.0,chris grayling,#Brexit
1447363795,2016-05-31 17:38,,0.0,0.0,"hoppas,verkligen att det blir,brexit,vore",
388719379,2016-05-31 17:32,,0.5,0.5,"brexit,uk,ct2=au % 2f1_0_s_1_1_a,url=http % 3a % 2f % 2fwww.independent.co.uk % 2fnews % 2fuk % 2fpolitics % 2fbrexit-uk-security-will-we-be-more-or-less-safe-a7058551.html,shr=t …,brexit,immunise uk,incontinent eu",#auspolies
2507557358,2016-05-31 17:28,,0.0,0.0,brexit,
1568492526,2016-05-31 17:24,,0.0,0.0,"who,country ...,germans brexit nexit",
24555333,2016-05-31 17:18,,0.05,0.2,"grayling,brexit,nhs,ww3,jesus",
2328548103,2016-05-31 17:16,,0.1,0.4,"young people debate,eu,brexit,anna smee",
379851447,2016-05-31 17:12,,0.0,0.0,"eu,suzanne evans,ukip,pindc …",#brexit #EU #referendum #leave
41443661,2016-05-31 17:11,,-0.3125,0.6875,"brexit,bank holidays,christmases",
186947829,2016-05-31 17:07,,0.0,0.0,george,#Brexit #forricherforpoorer
2394317406,2016-05-31 17:01,,0.0,0.0,bit clearer,#BritainandEurope #EUreferendum #Brexit #StrongerIN
75582282,2016-05-31 16:58,,0.1,1.0,brexit,
11466702,2016-05-31 16:55,,-0.0625,0.0625,"german foreign minister warns,uk,brexit,germany`s,foreign minister,british vote",
421161257,2016-05-31 16:52,,0.5,0.5,'s vice versa,#Europe #Brexit #Europe
17172028,2016-05-31 16:47,,-0.3125,0.6875,"leaving,eu,cap,wo n't,uk,nhs",#brexit
359944226,2016-05-31 16:44,,0.03333333333333333,0.06666666666666667,"brexit,social contract,usiness-social-contract-rick-wheatley …",
26116063,2016-05-31 16:43,,0.10714285714285714,0.5357142857142857,brexit,
24508623,2016-05-31 16:36,,0.0,1.0,"enda kenny,have,final nail …",#Brexit #vinb #Rtept
1024208329,2016-05-31 16:31,,0.2,0.65,watching,#britainandeurope #Brexit
615046047,2016-05-31 16:30,,0.0,0.125,"brexit,farage putin boris",
823450616,2016-05-31 16:24,,-0.22500000000000006,0.5916666666666667,"bbc,legarde,obama,free movement",#Brexit
209079720,2016-05-31 16:20,,0.0,0.0,"marcus rashford,brexit",
920037348,2016-05-31 16:16,,0.0,0.0,,#teachers #nurses #juniordoctors #publicsafety #brexit
2424229969,2016-05-31 16:15,,0.0,0.1,"ca n't,'blue peter'tone",#britainandeurope #Brexit #EuropeanUnion
938694278,2016-05-31 16:09,,0.3333333333333333,0.9666666666666667,"another,poll shows,huge surge,brexit,pound,euro",
15778426,2016-05-31 16:06,,-0.125,0.75,"permanent ...,hegelian,britain,continent",#Leave #Remain #Brexit
2435495959,2016-05-31 16:03,,0.14583333333333334,0.5625,"video,brexit,eu,pho ...",#technology
115753716,2016-05-31 15:59,,0.0,0.0,"britain,cut,brexit",
