user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
3398386803,2016-06-28 04:42,,0.1625,0.8222222222222222,,#Brexit #ENGICE #NoCerealLeft
317933088,2016-06-28 04:41,,0.11363636363636363,0.3227272727272727,"rt,fact,one,immediate recruitment plans,brexit vote",
593837736,2016-06-28 04:41,,0.0,0.0,"samantha bee,brexit",
15152310,2016-06-28 04:41,,0.0,0.0,people 's vote,#Brexit
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
293415807,2016-06-28 04:40,,0.13636363636363635,0.45454545454545453,"brexit,casts doubt,eu,nato defense strategy",
138749160,2016-06-28 04:40,,0.0,0.1,"theresa may,boris johnson,tory,leadership race",#Brexit
71548486,2016-06-28 04:39,,-0.325,0.5,"juncker,eu,small planet,poor translation",#brexit
170358646,2016-06-28 04:39,,-0.027083333333333334,0.4979166666666667,"vote,brexit,serious and…",#Skibabs
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
19017675,2016-06-28 04:38,,0.10952380952380954,0.6476190476190476,free movement,#brexit
1159572698,2016-06-28 04:38,,0.008928571428571425,0.30952380952380953,"eu,brexit,meghnad desai",
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
tweet_id,user_id,time,geo,location,text,hashtags
tweet_id,user_id,time,geo,location,text,hashtags
tweet_id,user_id,time,geo,location,text,hashtags
747710461907472385,26489709,2016-06-28 04:37,,,Goldie Lookin' Chain bid farewell to the single market after Brexit  walesonline.co. -nightlife-ICID=sharebar_twitter …,#ICID
747710365501382656,741275632739471360,2016-06-28 04:36,,"The Hague, The Netherlands",  Netherlands will be very important due to brexit as a major hub Europe - Rotterdam TheHague Amsterdam Eindhoven,#Netherlands #brexit #Europe #Rotterdam #TheHague #Amsterdam #Eindhoven
